Lat,Lon
37.875891,-122.257332
37.875384,-122.258971
37.875579,-122.260349
37.874894,-122.260276
37.873624,-122.261236
37.870909,-122.259255
37.869620,-122.259034
37.869850,-122.259596
37.868959,-122.259719
37.868960,-122.260124
37.867843,-122.259900
37.867237,-122.260007
37.867085,-122.258721
37.867951,-122.257303
37.868829,-122.256939
37.875447,-122.259002
37.874986,-122.256514
37.873848,-122.256786
37.873756,-122.258169
37.873081,-122.258952
37.871970,-122.258407
37.872071,-122.256957
37.872411,-122.255545
37.872650,-122.254241
37.871342,-122.252852
37.871204,-122.254027
37.871053,-122.255288
37.871016,-122.256619
37.870526,-122.257619
37.869848,-122.257497
37.869605,-122.256246
37.869668,-122.254688
37.869668,-122.253030
37.868610,-122.252374
