Start,Length,Counts
1710973577.997691,10.000001668930054,37
1710973587.9980876,10.000000953674316,29
1710973597.9983659,10.000001430511475,35
1710973607.9986424,10.000001430511475,40
1710973617.9989202,10.000001192092896,21
1710973627.9992018,10.000001192092896,38
1710973637.9994755,10.000000715255737,24
1710973647.9997509,10.000001668930054,26
1710973658.0000343,10.000001430511475,32
1710973668.0003204,10.000001192092896,30
1710973678.0006013,10.000001430511475,28
1710973688.000884,10.000001192092896,39
